date,year,month,city,rent_per_sqm,rent_month_est
2018-11-30,2018,11,上海,88.69,4434.0
2018-12-31,2018,12,上海,88.08,4404.0
2019-01-31,2019,1,上海,87.62,4381.0
2019-02-28,2019,2,上海,87.59,4380.0
2019-03-31,2019,3,上海,89.42,4471.0
2019-04-30,2019,4,上海,91.31,4566.0
2019-05-31,2019,5,上海,91.82,4591.0
2019-06-30,2019,6,上海,92.14,4607.0
2019-07-31,2019,7,上海,92.17,4608.0
2019-08-31,2019,8,上海,91.15,4558.0
2019-09-30,2019,9,上海,89.41,4470.0
2019-10-31,2019,10,上海,88.83,4442.0
2019-11-30,2019,11,上海,90.03,4502.0
2019-12-31,2019,12,上海,90.86,4543.0
2020-01-31,2020,1,上海,92.03,4602.0
2020-02-29,2020,2,上海,92.09,4604.0
2020-03-31,2020,3,上海,92.01,4600.0
2020-04-30,2020,4,上海,91.98,4599.0
2020-05-31,2020,5,上海,93.23,4662.0
2020-06-30,2020,6,上海,94.99,4750.0
2020-07-31,2020,7,上海,96.09,4804.0
2020-08-31,2020,8,上海,97.3,4865.0
2020-09-30,2020,9,上海,99.45,4972.0
2020-10-31,2020,10,上海,97.99,4900.0
2020-11-30,2020,11,上海,96.45,4822.0
2020-12-31,2020,12,上海,93.91,4696.0
2021-01-31,2021,1,上海,93.94,4697.0
2021-02-28,2021,2,上海,94.43,4722.0
2021-03-31,2021,3,上海,93.85,4692.0
2021-04-30,2021,4,上海,94.25,4712.0
2021-05-31,2021,5,上海,96.57,4828.0
2021-06-30,2021,6,上海,99.32,4966.0
2021-07-31,2021,7,上海,101.61,5080.0
2021-08-31,2021,8,上海,103.36,5168.0
2021-09-30,2021,9,上海,103.93,5196.0
2021-10-31,2021,10,上海,103.81,5190.0
2021-11-30,2021,11,上海,103.1,5155.0
2021-12-31,2021,12,上海,101.53,5076.0
2022-01-31,2022,1,上海,100.54,5027.0
2022-02-28,2022,2,上海,99.47,4974.0
2022-03-31,2022,3,上海,97.48,4874.0
2022-04-30,2022,4,上海,97.07,4854.0
2022-05-31,2022,5,上海,97.69,4884.0
2022-06-30,2022,6,上海,99.81,4990.0
2022-07-31,2022,7,上海,101.62,5081.0
2022-08-31,2022,8,上海,101.4,5070.0
2022-09-30,2022,9,上海,102.62,5131.0
2022-10-31,2022,10,上海,102.29,5114.0
2022-11-30,2022,11,上海,101.95,5098.0
2022-12-31,2022,12,上海,101.49,5074.0
2023-01-31,2023,1,上海,101.42,5071.0
2023-02-28,2023,2,上海,101.4,5070.0
2023-03-31,2023,3,上海,102.4,5120.0
2023-04-30,2023,4,上海,101.56,5078.0
2023-05-31,2023,5,上海,102.3,5115.0
2023-06-30,2023,6,上海,100.45,5022.0
2023-07-31,2023,7,上海,99.79,4990.0
2023-08-31,2023,8,上海,101.97,5098.0
2023-09-30,2023,9,上海,101.4,5070.0
2023-10-31,2023,10,上海,100.71,5036.0
2023-11-30,2023,11,上海,99.3,4965.0
2023-12-31,2023,12,上海,97.83,4892.0
2024-01-31,2024,1,上海,97.48,4874.0
2024-02-29,2024,2,上海,97.43,4872.0
2024-03-31,2024,3,上海,97.5,4875.0
2024-04-30,2024,4,上海,97.47,4874.0
2024-05-31,2024,5,上海,96.76,4838.0
2024-06-30,2024,6,上海,96.79,4840.0
2024-07-31,2024,7,上海,96.59,4830.0
2024-08-31,2024,8,上海,97.11,4856.0
2024-09-30,2024,9,上海,97.65,4882.0
2024-10-31,2024,10,上海,98.26,4913.0
2024-11-30,2024,11,上海,98.44,4922.0
2024-12-31,2024,12,上海,98.38,4919.0
2025-01-31,2025,1,上海,98.23,4912.0
2025-02-28,2025,2,上海,97.7,4885.0
2025-03-31,2025,3,上海,97.56,4878.0
2025-04-30,2025,4,上海,97.09,4854.0
2025-05-31,2025,5,上海,96.73,4836.0
2025-06-30,2025,6,上海,96.5,4825.0
2025-07-31,2025,7,上海,96.44,4822.0
2025-08-31,2025,8,上海,95.69,4784.0
2025-09-30,2025,9,上海,95.33,4766.0
2018-11-30,2018,11,北京,87.95,4398.0
2018-12-31,2018,12,北京,84.71,4236.0
2019-01-31,2019,1,北京,83.92,4196.0
2019-02-28,2019,2,北京,84.59,4230.0
2019-03-31,2019,3,北京,85.43,4272.0
2019-04-30,2019,4,北京,86.64,4332.0
2019-05-31,2019,5,北京,87.91,4396.0
2019-06-30,2019,6,北京,89.99,4500.0
2019-07-31,2019,7,北京,91.04,4552.0
2019-08-31,2019,8,北京,90.63,4532.0
2019-09-30,2019,9,北京,90.17,4508.0
2019-10-31,2019,10,北京,90.48,4524.0
2019-11-30,2019,11,北京,92.28,4614.0
2019-12-31,2019,12,北京,91.35,4568.0
2020-01-31,2020,1,北京,91.7,4585.0
2020-02-29,2020,2,北京,91.78,4589.0
2020-03-31,2020,3,北京,92.88,4644.0
2020-04-30,2020,4,北京,92.85,4642.0
2020-05-31,2020,5,北京,92.56,4628.0
2020-06-30,2020,6,北京,92.43,4622.0
2020-07-31,2020,7,北京,92.28,4614.0
2020-08-31,2020,8,北京,91.43,4572.0
2020-09-30,2020,9,北京,89.94,4497.0
2020-10-31,2020,10,北京,87.4,4370.0
2020-11-30,2020,11,北京,85.67,4284.0
2020-12-31,2020,12,北京,83.99,4200.0
2021-01-31,2021,1,北京,83.0,4150.0
2021-02-28,2021,2,北京,83.7,4185.0
2021-03-31,2021,3,北京,84.77,4238.0
2021-04-30,2021,4,北京,86.68,4334.0
2021-05-31,2021,5,北京,89.18,4459.0
2021-06-30,2021,6,北京,91.78,4589.0
2021-07-31,2021,7,北京,91.77,4588.0
2021-08-31,2021,8,北京,90.68,4534.0
2021-09-30,2021,9,北京,90.01,4500.0
2021-10-31,2021,10,北京,89.98,4499.0
2021-11-30,2021,11,北京,89.97,4498.0
2021-12-31,2021,12,北京,89.97,4498.0
2022-01-31,2022,1,北京,91.89,4594.0
2022-02-28,2022,2,北京,93.68,4684.0
2022-03-31,2022,3,北京,93.71,4686.0
2022-04-30,2022,4,北京,95.05,4752.0
2022-05-31,2022,5,北京,95.7,4785.0
2022-06-30,2022,6,北京,97.46,4873.0
2022-07-31,2022,7,北京,98.8,4940.0
2022-08-31,2022,8,北京,98.85,4942.0
2022-09-30,2022,9,北京,97.55,4878.0
